"trab" "hstrab" "edmadre" "edpadre" "sexo" "lugar" "anhofin" "ocupmadre" "ocuppadre" "mate1" "tot1" "info1" "comp1" "cont1" "edHOGAR" "instituto" "edad" "ClusJer"
"1" "no" "0" "terciaria" "terciaria" "F" "Montevideo" 2006 "publico" "otrosP" 0.5 0.5 1 0 0.5 "3" "publico" "<20" 0
"2" "no" "0" "terciaria" "terciaria" "M" "Montevideo" 2006 "otros" "publicoP" 0.5 0.5 0.5 0.5 0 "3" "publico" ">20" 1
"3" "si" "<20h" "terciaria" "terciaria" "M" "Montevideo" 2005 "privado" "otrosP" 0 0.5 0.5 0 1 "3" "privado" "<20" 0
"4" "no" "0" "secundaria" "secundaria" "M" "Montevideo" 2006 "otros" "otrosP" 0 0 0.5 0 0.5 "1" "privado" "<20" 0
"5" "si" "<20h" "secundaria" "secundaria" "M" "Montevideo" 2005 "profesional" "otrosP" 0 0.5 1 0.5 0.5 "1" "privado" "<20" 0
"6" "no" "0" "secundaria" "terciaria" "F" "Montevideo" 2005 "privado" "otrosP" 0.5 0.5 0.5 0.5 1 "2" "privado" ">20" 1
"7" "no" "0" "secundaria" "secundaria" "F" "Montevideo" 2005 "privado" "privadoP" 0.5 0.5 1 0.5 0.5 "1" "privado" "<20" 1
"8" "no" "0" "terciaria" "secundaria" "M" "Montevideo" 2003 "profesional" "publicoP" 0 0.5 0.5 1 1 "2" "privado" ">20" 1
"9" "no" "0" "secundaria" "secundaria" "M" "Montevideo" 2006 "jubilado" "privadoP" 0.5 0.5 1 0.5 0 "1" "privado" "<20" 1
"10" "no" "0" "terciaria" "terciaria" "F" "Montevideo" 2006 "profesional" "profesionalP" 1 0.5 0 0 0 "3" "privado" "<20" 0
"11" "no" "0" "terciaria" "secundaria" "M" "Montevideo" 2006 "privado" "otrosP" 1 1 1 1 0 "2" "privado" "<20" 1
"12" "no" "0" "secundaria" "secundaria" "M" "Montevideo" 2006 "publico" "publicoP" 0.5 0.5 0.5 0 0 "1" "privado" "<20" 0
"13" "no" "0" "primaria" "primaria" "F" "Montevideo" 2005 "otros" "otrosP" 0.5 1 0.5 1 0.5 "1" "privado" ">20" 1
"14" "no" "0" "terciaria" "primaria" "M" "Montevideo" 2005 "profesional" "privadoP" 1 1 0.5 0.5 0.5 "2" "privado" "<20" 1
"15" "no" "0" "terciaria" "terciaria" "M" "Montevideo" 2005 "profesional" "profesionalP" 0.5 1 1 1 1 "3" "privado" "<20" 1
"16" "si" ">20h" "terciaria" "secundaria" "M" "Montevideo" 2001 "publico" "jubiladoP" 1 0.5 0.5 0 0 "2" "privado" ">20" 0
"17" "no" "0" "terciaria" "terciaria" "M" "Montevideo" 2006 "profesional" "otrosP" 0 0 0.5 0 0 "3" "privado" "<20" 0
"18" "no" "0" "terciaria" "terciaria" "M" "Montevideo" 2005 "profesional" "profesionalP" 1 1 0.5 1 1 "3" "privado" "<20" 1
"19" "no" "0" "terciaria" "terciaria" "M" "Montevideo" 2005 "otros" "publicoP" 0.5 1 0.5 0.5 0.5 "3" "privado" "<20" 1
