trab	hstrab	edmadre	edpadre	sexo	lugar	anhofin	ocupmadre	ocuppadre	edadr	tituto	mate1	tot1	info1	comp1	cont1	edHOGAR
trabNO	notrab	terciaria	terciaria	F	Montevideo	2006	publico	otrosP	menores20	publico	medioM	medioT	altoI	bajoCL	medioC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	otros	publicoP	mayores20	publico	medioM	medioT	medioI	medioCL	bajoC	3
trabSI	menos20	terciaria	terciaria	M	Montevideo	2005	privado	otrosP	menores20	privado	bajoM	medioT	medioI	bajoCL	altoC	3
trabNO	notrab	secundaria	secundaria	M	Montevideo	2006	otros	otrosP	menores20	privado	bajoM	bajoT	medioI	bajoCL	medioC	1
trabSI	menos20	secundaria	secundaria	M	Montevideo	2005	profesional	otrosP	menores20	privado	bajoM	medioT	altoI	medioCL	medioC	1
trabNO	notrab	secundaria	terciaria	F	Montevideo	2005	privado	otrosP	mayores20	privado	medioM	medioT	medioI	medioCL	altoC	2
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	privado	privadoP	menores20	privado	medioM	medioT	altoI	medioCL	medioC	1
trabNO	notrab	terciaria	secundaria	M	Montevideo	2003	profesional	publicoP	mayores20	privado	bajoM	medioT	medioI	altoCL	altoC	2
trabNO	notrab	secundaria	secundaria	M	Montevideo	2006	jubilado	privadoP	menores20	privado	medioM	medioT	altoI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Montevideo	2006	profesional	profesionalP	menores20	privado	altoM	medioT	bajoI	bajoCL	bajoC	3
trabNO	notrab	terciaria	secundaria	M	Montevideo	2006	privado	otrosP	menores20	privado	altoM	altoT	altoI	altoCL	bajoC	2
trabNO	notrab	secundaria	secundaria	M	Montevideo	2006	publico	publicoP	menores20	privado	medioM	medioT	medioI	bajoCL	bajoC	1
trabNO	notrab	primaria	primaria	F	Montevideo	2005	otros	otrosP	mayores20	privado	medioM	altoT	medioI	altoCL	medioC	1
trabNO	notrab	terciaria	primaria	M	Montevideo	2005	profesional	privadoP	menores20	privado	altoM	altoT	medioI	medioCL	medioC	2
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	menores20	privado	medioM	altoT	altoI	altoCL	altoC	3
trabSI	mas40	terciaria	secundaria	M	Montevideo	2001	publico	jubiladoP	mayores20	privado	altoM	medioT	medioI	bajoCL	bajoC	2
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	profesional	otrosP	menores20	privado	bajoM	bajoT	medioI	bajoCL	bajoC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	menores20	privado	altoM	altoT	medioI	altoCL	altoC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	otros	publicoP	menores20	privado	medioM	altoT	medioI	medioCL	medioC	3
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	publico	publicoP	menores20	privado	medioM	medioT	medioI	medioCL	altoC	1
trabSI	mas40	terciaria	terciaria	M	Montevideo	2006	profesional	profesionalP	mayores20	privado	medioM	bajoT	medioI	bajoCL	bajoC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	menores20	privado	medioM	bajoT	bajoI	altoCL	bajoC	3
trabNO	notrab	primaria	terciaria	F	Montevideo	2003	otros	profesionalP	mayores20	privado	bajoM	medioT	medioI	altoCL	medioC	2
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	privado	profesionalP	menores20	privado	altoM	bajoT	bajoI	bajoCL	bajoC	3
